Timestamp: 2025-03-14 16:44:59
Output1 Output2 Output3
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.900332889206211462e-01 9.966711079379193816e-03 0.000000000000000000e+00
9.900332889206211462e-01 9.867375749639372556e-03 9.933532973981990455e-05
9.799702126510969613e-01 9.867375749639377761e-03 1.016241159926436002e-02
9.507653773835988975e-01 3.907221101713685696e-02 1.016241159926435482e-02
9.507653773835991196e-01 3.800325282241884262e-02 1.123136979398235528e-02
9.216860472583008335e-01 3.800325282241885649e-02 4.031069991928062229e-02
8.757512720717824939e-01 8.393802800893687688e-02 4.031069991928061536e-02
8.757512720717822718e-01 8.105143223805849617e-02 4.319729569015896831e-02
8.303996275321531284e-01 8.105143223805852393e-02 8.854894022978865298e-02
7.717170219683437971e-01 1.397340378018679663e-01 8.854894022978865298e-02
7.717170219683435750e-01 1.344109920752601939e-01 9.387198595639642540e-02
7.143344526786741255e-01 1.344109920752601939e-01 1.512545552460654585e-01
6.479869281791612590e-01 2.007585165747733935e-01 1.512545552460654585e-01
6.479869281791612590e-01 1.926905139971315517e-01 1.593225578237073004e-01
5.839409496411036571e-01 1.926905139971315517e-01 2.233685363617649022e-01
5.156435581427645243e-01 2.609879054954705735e-01 2.233685363617649577e-01
5.156435581427647463e-01 2.502217904248267843e-01 2.341346514324087469e-01
4.509507263280299605e-01 2.502217904248267843e-01 2.988274832471433662e-01
3.865297633599023008e-01 3.146427533929543885e-01 2.988274832471433662e-01
3.865297633599023008e-01 3.015841185267776892e-01 3.118861181133202876e-01
3.273153751643671505e-01 3.015841185267776892e-01 3.711005063088554379e-01
2.721828539922619972e-01 3.567166396988826760e-01 3.711005063088554379e-01
2.721828539922621637e-01 3.420905991089451814e-01 3.857265468987929879e-01
2.241261126504289769e-01 3.420905991089451814e-01 4.337832882406260637e-01
1.827971575760655443e-01 3.834195541833086418e-01 4.337832882406260637e-01
1.827971575760654888e-01 3.681926801923517956e-01 4.490101622315825214e-01
1.506122148410238004e-01 3.681926801923519066e-01 4.811951049666244318e-01
1.263085481931471854e-01 3.924963468402284938e-01 4.811951049666245983e-01
1.263085481931471854e-01 3.777679571105461154e-01 4.959234946963067547e-01
1.133089740741433232e-01 3.777679571105462819e-01 5.089230688153106863e-01
1.076834228178968067e-01 3.833935083667926458e-01 5.089230688153105753e-01
1.076834228178968067e-01 3.702680461973981707e-01 5.220485309847050504e-01
1.154704247223700964e-01 3.702680461973984483e-01 5.142615290802315942e-01
1.284760379663131558e-01 3.572624329534552223e-01 5.142615290802315942e-01
1.284760379663131558e-01 3.467170068000676175e-01 5.248069552336193100e-01
1.567797821472580455e-01 3.467170068000676175e-01 4.965032110526744757e-01
1.866937927057954472e-01 3.168029962415304657e-01 4.965032110526743092e-01
1.866937927057955027e-01 3.095649691448124630e-01 5.037412381493923119e-01
2.333834473979494450e-01 3.095649691448124630e-01 4.570515834572382863e-01
2.769821653950630402e-01 2.659662511476986735e-01 4.570515834572381753e-01
2.769821653950630402e-01 2.624149881929040418e-01 4.606028464120328070e-01
3.382450228364923817e-01 2.624149881929041528e-01 3.993399889706036321e-01
3.911121127441489209e-01 2.095478982852475858e-01 3.993399889706036321e-01
3.911121127441489209e-01 2.096524502830695025e-01 3.992354369727816876e-01
4.617867412229341162e-01 2.096524502830695025e-01 3.285608084939964924e-01
5.187254415745727876e-01 1.527137499314308589e-01 3.285608084939964924e-01
5.187254415745727876e-01 1.560145983481349696e-01 3.252599600772922983e-01
5.927596763911873179e-01 1.560145983481350251e-01 2.512257252606779900e-01
6.482704374487795462e-01 1.005038372905424499e-01 2.512257252606779900e-01
6.482704374487798793e-01 1.061422159724572517e-01 2.455873465787632437e-01
7.192634428349703457e-01 1.061422159724572239e-01 1.745943411925726108e-01
7.680429778971753496e-01 5.736268091025231719e-02 1.745943411925725552e-01
7.680429778971749055e-01 6.415589751403137642e-02 1.678011245887935099e-01
8.298226759233656713e-01 6.415589751403137642e-02 1.060214265626032576e-01
8.672390053586174208e-01 2.673956807877938061e-02 1.060214265626032298e-01
8.672390053586178649e-01 3.329570388626772182e-02 9.946529075511491291e-02
