timestamp,step,thorlabs1_uW,thorlabs2_uW
2025-06-02 15:11:35,99,0.0925919181,68.425863
2025-06-02 15:11:37,100,0.0369611648,68.4408806
2025-06-02 15:11:39,101,0.038727890200000004,68.60613210000001
2025-06-02 15:11:41,102,0.0911502553,68.425863
2025-06-02 15:11:43,103,0.178765859,68.3807957
2025-06-02 15:11:45,104,0.301504002,68.2155587
2025-06-02 15:11:46,105,0.439902493,68.2005266
2025-06-02 15:11:48,106,0.6852721979999999,68.0953672
2025-06-02 15:11:50,107,0.8736085990000001,67.8400029
2025-06-02 15:11:52,108,1.1229771,67.7648859
2025-06-02 15:11:54,109,1.41242003,67.58462399999999
2025-06-02 15:11:55,110,1.7570899899999999,67.1039161
2025-06-02 15:11:57,111,2.0751372200000002,67.0287991
2025-06-02 15:11:59,112,2.5180816,66.5330663
2025-06-02 15:12:01,113,2.9257660100000003,66.082408
2025-06-02 15:12:03,114,3.40326233,66.0223232
2025-06-02 15:12:04,115,3.8902458100000006,65.2862363
2025-06-02 15:12:06,116,4.46219337,64.7454435
2025-06-02 15:12:08,117,5.0055359699999995,64.3849053
2025-06-02 15:12:10,118,5.5348605200000005,63.8140627
2025-06-02 15:12:12,119,5.54859662,64.00934939999999
2025-06-02 15:12:14,120,6.12960685,63.4084645
2025-06-02 15:12:15,121,6.95039807,62.6573528
2025-06-02 15:12:17,122,7.48109687,62.191677000000006
2025-06-02 15:12:19,123,8.176398299999999,61.4255478
2025-06-02 15:12:21,124,8.883051120000001,60.884744
2025-06-02 15:12:23,125,9.61950082,60.088572400000004
2025-06-02 15:12:24,126,10.3602097,59.487691
2025-06-02 15:12:26,127,11.154837,58.9028932
2025-06-02 15:12:28,128,12.0175791,58.0977357
2025-06-02 15:12:30,129,12.8249785,57.289569699999994
2025-06-02 15:12:32,130,13.7019078,56.430330000000005
2025-06-02 15:12:34,131,14.5660679,55.7243111
2025-06-02 15:12:35,132,15.496920199999998,54.8034877
2025-06-02 15:12:37,133,16.3227669,53.8961758
2025-06-02 15:12:39,134,17.2933487,52.9182689
2025-06-02 15:12:41,135,18.2398089,51.932846
2025-06-02 15:12:42,136,19.2643147,50.986484
2025-06-02 15:12:44,137,20.2831434,49.8733789
2025-06-02 15:12:46,138,21.1955485,48.9014819
2025-06-02 15:12:48,139,22.327893,47.8334368
2025-06-02 15:12:50,140,23.268677999999998,46.909608500000004
2025-06-02 15:12:51,141,24.300276,45.8580907
2025-06-02 15:12:53,142,25.2807913,45.0258885
2025-06-02 15:12:55,143,26.3677321,43.9278083
2025-06-02 15:12:57,144,27.6022456,42.7561172
2025-06-02 15:12:59,145,28.6608047,41.710613
2025-06-02 15:13:01,146,29.756258300000002,40.5494429
2025-06-02 15:13:02,147,30.8673225,39.473889
2025-06-02 15:13:04,148,31.874795199999998,38.467438599999994
2025-06-02 15:13:06,149,33.0525545,37.510555599999996
2025-06-02 15:13:08,150,34.0401639,36.4034604
2025-06-02 15:13:10,151,35.22642870000001,35.2317766
2025-06-02 15:13:11,152,36.323301199999996,34.1201703
2025-06-02 15:13:13,153,37.398891400000004,33.0220901
2025-06-02 15:13:15,154,38.5681305,31.8353814
2025-06-02 15:13:17,155,39.6068208,30.815408500000004
2025-06-02 15:13:19,156,40.8668784,29.663249699999998
2025-06-02 15:13:21,157,41.9609132,28.637270599999997
2025-06-02 15:13:22,158,43.1244771,27.551204799999997
2025-06-02 15:13:24,159,44.2170931,26.5312356
2025-06-02 15:13:26,160,45.1564556,25.6449584
2025-06-02 15:13:28,161,46.3115066,24.498807799999998
2025-06-02 15:13:30,162,47.3743239,23.381197
2025-06-02 15:13:31,163,48.337813499999996,22.4077939
2025-06-02 15:13:33,164,49.522659499999996,21.2766627
2025-06-02 15:13:35,165,50.5542594,20.3272939
2025-06-02 15:13:37,166,51.6383625,19.3283558
2025-06-02 15:13:39,167,52.6316508,18.3369284
2025-06-02 15:13:41,168,53.6178413,17.3304761
2025-06-02 15:13:42,169,54.5373405,16.454714600000003
2025-06-02 15:13:44,170,55.4681901,15.488822100000002
2025-06-02 15:13:46,171,56.4458715,14.592030300000001
2025-06-02 15:13:48,172,57.3667858,13.735796500000001
2025-06-02 15:13:50,173,58.2763569,12.8705487
2025-06-02 15:13:51,174,59.2412616,11.994786300000001
2025-06-02 15:13:53,175,60.0316343,11.1445615
2025-06-02 15:13:55,176,60.830519900000006,10.2868244
2025-06-02 15:13:57,177,61.53008139999999,9.54175175
2025-06-02 15:13:58,178,62.27078850000001,8.81921096
2025-06-02 15:14:01,179,64.7189881,8.00353519
2025-06-02 15:14:02,180,63.71315980000001,7.3290621
2025-06-02 15:14:04,181,64.4214815,6.67562063
2025-06-02 15:14:06,182,65.1298178,6.05672903
2025-06-02 15:14:08,183,65.6823031,5.33820821
2025-06-02 15:14:09,184,66.2206367,4.71994781
2025-06-02 15:14:11,185,66.71647130000001,4.23009124
2025-06-02 15:14:13,186,67.240624,3.61588991
2025-06-02 15:14:15,187,67.6089621,3.18587422
2025-06-02 15:14:17,188,68.0622834,2.6682021099999997
2025-06-02 15:14:19,189,68.34562369999999,2.23833672
2025-06-02 15:14:20,190,68.68560740000001,1.81057624
2025-06-02 15:14:22,191,69.0114539,1.41393946
2025-06-02 15:14:24,192,69.2522808,1.1078165
2025-06-02 15:14:26,193,69.69143580000001,0.808309096
2025-06-02 15:14:28,194,69.833106,0.557817543
2025-06-02 15:14:30,195,70.00310139999999,0.32966534
2025-06-02 15:14:31,196,70.2581019,0.135877315
2025-06-02 15:14:33,197,70.3855985,-0.0220733085
2025-06-02 15:14:35,198,70.4989288,-0.169149388
2025-06-02 15:14:37,199,70.5555867,-0.264775309
2025-06-02 15:14:39,200,70.5980856,-0.321158439
