time_step,site1,site2,site3
1,-16.26724502480775,-4.92849018055387,3.6839651300000003
2,-14.343834069922567,-6.842660982291216,4.55700638
3,-14.343834069922567,-6.842660982291216,5.16409409
4,-10.497012160152197,-12.585173387503252,5.753116970000001
5,-10.497012160152197,-10.671002585765907,6.00868907
